Date,Open,High,Low,Close
1960,17.83,18.79,17.78,18.37
1961,17.74,17.76,17.27,17.48
1962,18.54,18.62,18.05,18.13
1963,18.17,18.88,18.12,18.83
1964,17.98,18.31,17.52,17.88
1965,18.04,18.21,17.84,17.93
1966,17.37,18.59,17.31,18.33
1967,17.32,17.65,16.88,17.06
1968,17.37,17.45,16.92,17.14
1969,17.03,17.22,16.6,16.96
1970,16.32,16.9,16.26,16.9
1971,16.82,16.96,16.24,16.25
1972,16.98,17.05,16.18,16.65
1973,17.01,17.04,16.48,17.01
1974,16.63,17.2,16.43,17.11
1975,15.37,16.62,15.25,16.48
1976,15.2,15.74,15.1,15.15
1977,15.35,15.62,14.87,15.28
1978,15.86,15.88,15.27,15.27
1979,16.12,16.4,15.89,16.12
1980,16.03,16.24,15.64,15.88
1981,15.96,16.25,15.72,15.79
1982,16.29,16.52,16.1,16.15
1983,17.05,17.08,16.42,16.42
1984,17.01,17.24,16.46,16.96
1985,17.03,17.35,16.36,17.17
1986,18.02,18.15,17.16,17.21
1987,17.77,18.19,17.66,18
1988,18.3,18.38,17.81,17.91
1989,18.22,18.45,18,18.12
1990,18.49,18.5,17.89,18.09
1991,19.27,19.47,19.04,19.09
1992,18.97,19.32,18.54,19.26
1993,18.94,19.49,18.92,19.21
1994,19.25,19.8,18.7,18.8
1995,19.64,19.77,19.26,19.44
1996,19.16,19.93,19.06,19.66
1997,18.51,19.14,18.25,19.04
1998,18.54,19,18.5,18.63
1999,17.85,18.61,17.6,18.5
2000,17.03,18.13,17,17.83
2001,17.74,17.79,17.1,17.1
2002,17.78,17.96,17.56,17.59
2003,17.8,18.31,17.76,18.04
2004,17.78,17.97,17.43,17.66
2005,17.29,17.81,17.23,17.63
2006,16.97,17.49,16.75,17.2
2007,18.05,18.18,17.07,17.11
2008,18.87,19.45,18.46,19.38
2009,19.46,19.62,18.37,18.48
2010,19.63,19.91,19.15,19.71
2011,19.07,19.3,18.52,19.24
2012,19.53,19.68,19.01,19.09
2013,19.52,19.99,19.52,19.82
2014,19.71,19.79,19.3,19.47
2015,20.17,20.3,19.41,19.52
2016,19.63,20.19,19.55,20.12
2017,20.19,20.29,19.48,19.51
2018,20.75,21,20.61,20.76
2019,20.2,20.67,20.06,20.52
2020,19.53,20.4,19.37,20.33
